review_description,rating,review_date,preprocessing_review_description,gpt4o_scores,gpt4o_tendency
"The app is good for connecting with friends, family and even potential business partners. However as of recently I've experienced some problems with the messages portion of the app (ex: themes aren't showing up on my end but are present on other person's end). Idk if it has to do with a bug but it happened all of sudden out of nowhere on both of my pages (one private the other public). But besides the occasional bugs and sometimes the app/website being down randomly, I say it's a decent app.",3,2023/7/11 23:57,app good connecting friends family even potential business partners however recently experienced problems messages portion app ex themes showing end present person end idk bug happened sudden nowhere pages one private public besides occasional bugs sometimes app website randomly say decent app,0.2,Positive
"Used to be my favorite social media app, but ""improvements"" have made it harder and harder to use and I find myself using less and less. The most recent terrible ""feature"" added makes the photo carousels autoswipe after 3 seconds. There is no way to turn this off and it is driving me crazy. You are not TikTok - stop trying to be. Also, dark mode breaks down all the time and I find myself in an environment where the background is white with white text, making it impossible to read anything.",2,2023/7/22 21:37,used favorite social media app improvements made harder harder use find using less less recent terrible feature added makes photo carousels autoswipe 3 seconds way turn driving crazy tiktok stop trying also dark mode breaks time find environment background white white text making impossible read anything,-0.9,Negative
"Instagram is the best of all the social media. IG is not just a posting platform, it facilitates the processs of getting one's message out to the world. The design functionality of the interface is intuitive and user friendly. It guides me to the best possible options without limiting or directing what I do with my content. No other platform is as responsive or even remotely aware of the unique needs I have. IG knows how to innovate and improve the presentation of complex content.",5,2023/7/25 03:24,instagram best social media ig posting platform facilitates processs getting one message world design functionality interface intuitive user friendly guides best possible options without limiting directing content platform responsive even remotely aware unique needs ig knows innovate improve presentation complex content,0.8,Positive
"I love this app.. but as of late, I have been having problems with the screen and background turning white, longer than normal loading, and now it just keeps crashing! If I get a notification I can click and see but the moment I go to home page, it crashes. I uninstalled it, cleared the cache, restarted the phone and nothing works! Please fix the bug in this app.",2,2023/7/9 04:49,love app late problems screen background turning white longer normal loading keeps crashing get notification click see moment go home page crashes uninstalled cleared cache restarted phone nothing works please fix bug app,-0.8,Negative
Used to be a great app but there are so many more bugs and issues than ever before. Plus they are ruining their user interface trying to keep up with other social media platforms. Making editing videos in the app extremely infuriating. It's like they try to add all these extra features but don't quite do it in the right way so it actually ends up limiting what you can do. It feels like I'm fighting instagram every time I just want to make a little 15 second reel.,3,2023/7/17 16:47,used great app many bugs issues ever plus ruining user interface trying keep social media platforms making editing videos app extremely infuriating like try add extra features quite right way actually ends limiting feels like fighting instagram every time want make little 15 second reel,-0.8,Negative
The app has been glitching alot. Videos will not play and instead just show a black screen. Audios will not play either. The message themes keep going back to default even once changed they do not stay. I've tried to delete and reinstall and it is still not working. I've done this multiple times as well as restart my phone and nothing has helped. Not working as it should be.,1,2023/7/11 05:04,app glitching alot videos play instead show black screen audios play either message themes keep going back default even changed stay tried delete reinstall still working done multiple times well restart phone nothing helped working,-0.8,Negative
"I like this app a lot, but the messaging part of the app is very frustrating. I sometimes won't get notifications when my friends respond to me. One time recently, I sent my friend a reel, and they responded, and then I went to see what they said, and the reel I sent were gone on my end, but they could still see them. Sometimes, I'll send messages, then leave the app, then go back, and it said I never sent the message. Wish the bugs would be fixed because I've dealt with this for a while.",3,2023/7/18 12:48,like app lot messaging part app frustrating sometimes get notifications friends respond one time recently sent friend reel responded went see said reel sent gone end could still see sometimes send messages leave app go back said never sent message wish bugs would fixed dealt,-0.3,Negative
"Eventhough sometimes it works, most of the time it doesn't. The quality of videos uploaded to the site sucks as well as the recommended videos (Not Video Resolution). There is also a lack of configuration options for your recommendations, like wanting only verified accounts or just being able to manually change your interests, or just the ability to reset your suggestion feed. The way the site is set up can also be confusing. ??to Instagram and Meta for the quality of this app, do better.",2,2023/7/13 14:01,eventhough sometimes works time quality videos uploaded site sucks well recommended videos video resolution also lack configuration options recommendations like wanting verified accounts able manually change interests ability reset suggestion feed way site set also confusing instagram meta quality app better,-0.6,Negative
"I'm not sure what the point of leaving a review will accomplish when the most recent reviews are all regarding the same issues and nothing has been done to address this. I have the same issues, videos, pages, shorts are not fully loading or refreshing, leaving me with black, gray or white screens. If I'm fortunate enough to see a video, short or photos it's the same stuff for days. I hope someone is working on a fix , but by the lack of any response from the developers, users don't matter",1,2023/7/14 02:26,sure point leaving review accomplish recent reviews regarding issues nothing done address issues videos pages shorts fully loading refreshing leaving black gray white screens fortunate enough see video short photos stuff days hope someone working fix lack response developers users matter,-0.6,Negative
"This app has so many frustrating aspects. The themes won't work, and when they do it works for 5 minutes then stops. The messages glitch out to where it looks like the messages have been deleted so you refresh the entire page. This happens whenever I open the app. Texting outside of the app hardly works. It doesn't send my messages through there, but when I go into the app it sent it twice. Then the notifications are the most glitchy. They stop until I restart my phone randomly for no reason.",2,2023/7/13 07:46,app many frustrating aspects themes work works 5 minutes stops messages glitch looks like messages deleted refresh entire page happens whenever open app texting outside app hardly works send messages go app sent twice notifications glitchy stop restart phone randomly reason,-0.8,Negative
